id,user_id,follow_id
"1","1","408"
"2","1","286"
"3","1","119"
"4","1","113"
"5","1","342"
"6","1","351"
"7","1","207"
"8","1","220"
"9","1","294"
"10","1","354"
"11","1","448"
"12","1","329"
"13","1","354"
"14","1","270"
"15","1","38"
"16","1","267"
"17","1","46"
"18","1","57"
"19","1","470"
"20","1","448"
"21","1","233"
"22","1","381"
"23","1","166"
"24","1","399"
"25","1","144"
"26","1","329"
"27","1","91"
"28","1","36"
"29","1","176"
"30","1","161"
"31","1","430"
"32","1","367"
"33","1","108"
"34","1","268"
"35","1","296"
"36","1","177"
"37","1","436"
"38","1","288"
"39","1","309"
"40","1","106"
"41","1","261"
"42","1","407"
"43","1","119"
"44","1","3"
"45","1","32"
"46","1","282"
"47","1","79"
"48","1","315"
"49","1","465"
"50","1","100"
"51","2","265"
"52","2","244"
"53","2","98"
"54","2","184"
"55","2","475"
"56","2","322"
"57","2","214"
"58","2","220"
"59","2","116"
"60","2","97"
"61","2","349"
"62","2","98"
"63","2","89"
"64","2","29"
"65","2","100"
"66","2","15"
"67","2","358"
"68","2","256"
"69","2","221"
"70","2","488"
"71","2","352"
"72","2","404"
"73","2","311"
"74","2","96"
"75","2","206"
"76","2","118"
"77","2","402"
"78","2","261"
"79","2","122"
"80","2","73"
"81","2","400"
"82","2","157"
"83","2","236"
"84","2","296"
"85","2","76"
"86","2","293"
"87","2","443"
"88","2","180"
"89","2","249"
"90","2","142"
"91","2","26"
"92","2","189"
"93","2","347"
"94","2","200"
"95","2","259"
"96","2","379"
"97","2","217"
"98","2","200"
"99","2","384"
"100","2","470"
"101","3","410"
"102","3","233"
"103","3","395"
"104","3","342"
"105","3","135"
"106","3","418"
"107","3","108"
"108","3","26"
"109","3","184"
"110","3","351"
"111","3","340"
"112","3","386"
"113","3","412"
"114","3","400"
"115","3","296"
"116","3","438"
"117","3","230"
"118","3","130"
"119","3","405"
"120","3","394"
"121","3","130"
"122","3","439"
"123","3","422"
"124","3","299"
"125","3","415"
"126","3","273"
"127","3","17"
"128","3","346"
"129","3","168"
"130","3","106"
"131","3","433"
"132","3","192"
"133","3","398"
"134","3","158"
"135","3","489"
"136","3","396"
"137","3","476"
"138","3","248"
"139","3","325"
"140","3","377"
"141","3","141"
"142","3","420"
"143","3","283"
"144","3","69"
"145","3","290"
"146","3","470"
"147","3","224"
"148","3","302"
"149","3","287"
"150","3","271"
"151","4","334"
"152","4","256"
"153","4","150"
"154","4","334"
"155","4","164"
"156","4","162"
"157","4","342"
"158","4","293"
"159","4","220"
"160","4","329"
"161","4","271"
"162","4","120"
"163","4","343"
"164","4","423"
"165","4","257"
"166","4","151"
"167","4","498"
"168","4","319"
"169","4","388"
"170","4","116"
"171","4","296"
"172","4","294"
"173","4","107"
"174","4","237"
"175","4","219"
"176","4","203"
"177","4","347"
"178","4","34"
"179","4","25"
"180","4","264"
"181","4","194"
"182","4","415"
"183","4","216"
"184","4","15"
"185","4","343"
"186","4","268"
"187","4","260"
"188","4","477"
"189","4","45"
"190","4","140"
"191","4","418"
"192","4","75"
"193","4","312"
"194","4","363"
"195","4","158"
"196","4","310"
"197","4","360"
"198","4","361"
"199","4","37"
"200","4","288"
"201","5","121"
"202","5","118"
"203","5","355"
"204","5","150"
"205","5","140"
"206","5","261"
"207","5","115"
"208","5","70"
"209","5","333"
"210","5","475"
"211","5","419"
"212","5","20"
"213","5","309"
"214","5","453"
"215","5","62"
"216","5","93"
"217","5","431"
"218","5","374"
"219","5","387"
"220","5","274"
"221","5","292"
"222","5","460"
"223","5","391"
"224","5","163"
"225","5","18"
"226","5","437"
"227","5","180"
"228","5","270"
"229","5","124"
"230","5","347"
"231","5","38"
"232","5","177"
"233","5","136"
"234","5","444"
"235","5","312"
"236","5","490"
"237","5","302"
"238","5","69"
"239","5","226"
"240","5","206"
"241","5","482"
"242","5","211"
"243","5","458"
"244","5","275"
"245","5","205"
"246","5","173"
"247","5","28"
"248","5","417"
"249","5","401"
"250","5","69"
"251","6","42"
"252","6","377"
"253","6","39"
"254","6","150"
